A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,y
9.2,0.35,7.3,3.2,34.0,0.32,0.13,0.051,0.9974,14.4,109.0,0
9.4,0.41,7.1,3.4,64.0,0.32,0.12,0.054,0.9962,9.6,162.0,1
9.1,0.59,7.1,3.16,60.0,0.35,0.23,0.04,0.999,16.5,171.0,0
9.1,0.59,7.1,3.16,60.0,0.35,0.23,0.04,0.999,16.5,171.0,0
10.3,0.6,6.9,3.27,37.0,0.28,0.33,0.051,0.9927,1.3,187.0,1
8.8,0.39,6.5,2.89,64.0,0.54,0.17,0.082,0.9959,8.5,163.0,0
8.9,0.52,7.2,3.04,45.0,0.46,0.27,0.052,1.0,18.75,255.0,1
9.2,0.47,7.2,3.01,68.0,0.5,0.31,0.056,0.9982,13.3,195.0,1
9.1,0.51,6.7,3.22,29.0,0.34,0.41,0.049,0.9968,9.2,150.0,1
9.1,0.51,6.7,3.22,29.0,0.34,0.41,0.049,0.9968,9.2,150.0,1
11.3,0.44,6.0,3.31,25.0,0.24,0.31,0.041,0.9914,3.3,143.0,0
11.8,0.42,7.0,3.19,16.0,0.4,0.14,0.035,0.9911,1.7,85.0,0
9.2,0.47,7.2,3.01,68.0,0.5,0.31,0.056,0.9982,13.3,195.0,1
9.2,0.5,7.3,3.04,57.0,0.48,0.32,0.06,0.9982,13.3,196.0,1
10.2,0.51,5.9,3.22,21.0,0.04,0.36,0.046,0.9934,5.7,87.0,1
8.8,0.54,7.8,3.01,42.0,0.32,0.24,0.054,0.9984,12.2,138.0,1
9.7,0.34,7.4,3.29,31.0,0.31,0.16,0.059,0.9952,6.85,131.0,1
9.1,0.36,6.9,3.29,14.0,0.28,0.19,0.058,0.9952,5.0,146.0,0
9.8,0.36,6.4,3.21,40.0,0.47,0.13,0.092,0.9928,1.6,158.0,0
11.0,0.48,6.7,3.27,63.0,0.36,0.19,0.026,0.9912,1.1,143.0,0
10.5,0.42,7.4,3.14,29.0,0.23,0.39,0.033,0.994,7.0,126.0,1
10.9,0.57,6.1,3.31,46.0,0.56,0.3,0.046,0.9924,2.7,184.0,0
10.6,0.37,5.7,3.39,7.0,0.25,0.26,0.02,0.994,10.4,57.0,1
9.0,0.57,6.5,3.23,59.0,0.4,0.425,0.038,0.9979,13.1,241.0,1
9.2,0.51,6.6,3.24,46.0,0.27,0.24,0.035,0.9982,15.8,188.0,1
8.9,0.52,6.8,3.19,55.0,0.22,0.27,0.034,0.9961,8.1,203.0,1
9.6,0.56,6.7,3.26,44.0,0.31,0.27,0.036,0.9979,15.7,179.0,1
10.7,0.38,8.2,3.12,36.0,0.4,0.23,0.027,0.992,1.2,121.0,0
8.7,0.44,7.1,3.16,49.0,0.67,0.37,0.045,0.9975,10.5,155.0,1
11.8,0.52,8.1,3.23,18.0,0.39,0.28,0.029,0.9923,1.9,79.0,0
10.2,0.43,6.3,3.3,20.0,0.34,0.31,0.045,0.9927,2.2,77.0,1
8.7,0.44,7.1,3.16,49.0,0.67,0.37,0.045,0.9975,10.5,155.0,1
10.8,0.54,7.9,3.21,38.0,0.4,0.21,0.039,0.992,1.2,107.0,0
9.7,0.53,8.5,3.18,24.0,0.41,0.21,0.036,0.9947,4.3,99.0,0
11.2,0.54,8.1,3.12,19.0,0.4,0.2,0.037,0.9921,2.0,87.0,0
10.9,0.39,6.3,3.0,37.0,0.37,0.255,0.04,0.9905,1.1,114.0,0
10.1,0.37,5.6,3.28,53.0,0.27,0.16,0.044,0.9918,1.4,168.0,0
9.4,0.38,6.9,2.99,23.0,0.3,0.25,0.054,0.994,4.1,116.0,0
9.9,0.43,7.6,3.14,58.0,0.46,0.18,0.055,0.9968,10.2,135.0,0
9.4,0.38,6.9,2.99,23.0,0.3,0.25,0.054,0.994,4.1,116.0,0
10.4,0.45,7.2,3.14,41.0,0.41,0.18,0.048,0.9919,1.2,97.0,1
9.7,0.84,8.2,3.06,12.0,0.4,0.23,0.049,0.9966,7.5,76.0,0
8.9,0.42,7.4,2.89,48.0,0.42,0.24,0.066,0.9979,14.0,198.0,0
8.9,0.42,7.4,2.89,48.0,0.42,0.24,0.066,0.9979,14.0,198.0,0
9.1,0.4,6.4,2.98,27.0,0.56,0.22,0.055,0.998,14.5,159.0,1
10.6,0.39,6.3,3.28,14.0,0.3,0.36,0.049,0.9932,4.8,85.0,1
8.9,0.42,7.4,2.89,48.0,0.42,0.24,0.066,0.9979,14.0,198.0,0
9.5,0.5,6.7,3.15,64.0,0.35,0.24,0.05,0.997,13.1,205.0,1
9.8,0.49,7.0,3.16,72.0,0.36,0.23,0.051,0.9972,13.0,177.0,1
9.6,0.59,8.4,3.14,39.0,0.46,0.27,0.048,0.9974,8.7,197.0,0
9.3,0.54,7.5,3.08,20.0,0.31,0.29,0.055,0.9968,8.95,151.0,1
10.0,0.29,9.8,2.87,5.0,0.48,0.42,0.034,0.9958,9.85,110.0,1
12.7,0.54,7.1,3.12,29.0,0.46,0.3,0.066,0.9906,1.5,133.0,0
11.0,0.39,7.9,3.13,17.0,0.45,0.19,0.045,0.9917,1.5,96.0,0
10.2,0.64,7.5,3.09,33.0,0.31,0.27,0.051,0.999,17.7,173.0,1
11.4,0.27,6.9,3.11,50.0,0.4,0.23,0.04,0.9927,7.5,151.0,0
9.4,0.39,5.9,3.28,57.0,0.3,0.23,0.054,0.9972,12.9,170.0,1
9.2,0.68,6.4,3.19,41.0,0.32,0.25,0.049,0.995,5.5,176.0,0
9.3,0.66,6.4,3.19,42.0,0.31,0.33,0.048,0.9951,5.5,173.0,0
9.2,0.43,7.1,3.09,61.0,0.15,0.34,0.053,0.9936,1.2,183.0,1
8.7,0.5,6.8,2.93,48.0,0.4,0.28,0.048,1.001,22.0,167.0,1
9.6,0.58,6.9,3.18,64.0,0.4,0.27,0.05,0.9979,14.0,227.0,0
9.3,0.63,6.8,3.02,64.0,0.56,0.26,0.043,0.997,11.9,226.0,1
9.3,0.63,6.8,3.02,66.0,0.56,0.29,0.043,0.9972,11.9,230.0,1
9.9,0.61,6.7,3.12,49.0,0.41,0.24,0.04,0.9954,9.4,166.0,0
11.0,0.5,5.9,3.15,42.0,0.23,0.3,0.038,0.9924,4.2,119.0,1
8.9,0.55,6.6,3.09,55.0,0.28,0.28,0.052,0.9962,8.5,211.0,0
8.7,0.5,6.8,2.93,48.0,0.4,0.28,0.048,1.001,22.0,167.0,1
11.4,0.37,6.8,3.02,28.0,0.36,0.28,0.045,0.9928,8.0,123.0,0
9.6,0.42,6.6,3.36,34.0,0.34,0.15,0.055,0.9942,5.1,125.0,1
9.1,0.41,6.4,3.02,75.0,0.44,0.29,0.2,0.9942,3.6,181.0,1
9.1,0.39,6.4,3.02,76.0,0.45,0.3,0.197,0.9942,3.5,180.0,0
9.1,0.38,6.4,3.01,75.0,0.44,0.29,0.197,0.9942,3.6,183.0,1
8.9,0.47,6.8,3.13,54.0,0.24,0.26,0.052,0.9961,7.8,214.0,1
8.8,0.49,7.1,3.1,52.0,0.24,0.32,0.05,0.998,13.1,204.0,1
8.9,0.47,6.8,3.13,54.0,0.24,0.26,0.052,0.9961,7.8,214.0,1
9.3,0.5,6.8,3.15,55.0,0.26,0.27,0.049,0.9984,16.1,196.0,1
8.8,0.49,7.1,3.1,52.0,0.24,0.32,0.05,0.998,13.1,204.0,1
9.6,0.5,6.9,3.2,53.0,0.32,0.54,0.05,0.9973,13.2,236.0,1
12.0,0.53,6.8,3.33,39.0,0.34,0.26,0.034,0.9949,13.9,134.0,0
8.8,0.43,6.4,3.15,45.0,0.5,0.21,0.042,0.9972,11.6,153.0,1
9.2,0.34,7.0,3.21,38.0,0.32,0.16,0.045,0.9958,8.3,126.0,1
10.2,0.74,6.8,3.32,15.0,0.29,0.57,0.04,0.9938,2.2,77.0,1
9.5,0.77,6.1,3.22,23.0,0.31,0.4,0.048,0.993,0.9,170.0,0
10.5,0.34,5.6,3.31,12.0,0.25,0.245,0.032,0.994,9.7,68.0,1
9.2,0.34,7.0,3.21,38.0,0.32,0.16,0.045,0.9958,8.3,126.0,1
9.7,0.37,6.7,3.44,31.0,0.29,0.13,0.051,0.9944,5.3,122.0,0
9.4,0.38,5.8,3.31,55.0,0.24,0.26,0.044,0.9961,9.2,152.0,1
11.0,0.33,7.5,3.03,45.0,0.36,0.27,0.036,0.9939,7.0,164.0,1
9.4,0.38,5.8,3.31,55.0,0.24,0.26,0.044,0.9961,9.2,152.0,1
9.4,0.44,5.7,3.31,60.0,0.24,0.28,0.044,0.9989,17.5,167.0,1
11.0,0.32,7.5,3.04,43.0,0.36,0.23,0.036,0.9938,7.0,161.0,1
11.0,0.33,7.5,3.03,45.0,0.36,0.27,0.036,0.9939,7.0,164.0,1
9.1,0.55,7.2,3.0,33.0,0.21,0.685,0.07,0.9971,9.5,172.0,0
9.1,0.39,6.5,3.42,33.0,0.3,0.19,0.043,0.9936,0.8,144.0,0
10.4,0.54,6.3,3.39,31.0,0.22,0.495,0.046,0.9929,1.8,140.0,0
8.7,0.39,7.1,3.32,39.0,0.41,0.24,0.046,0.9998,17.8,145.0,1
9.7,0.5,6.4,3.5,41.0,0.32,0.17,0.048,0.9938,2.4,200.0,0
9.1,0.52,7.1,3.17,66.0,0.32,0.25,0.041,0.9969,10.3,272.0,0
9.7,0.5,6.4,3.5,41.0,0.32,0.17,0.048,0.9938,2.4,200.0,0
8.7,0.39,7.1,3.32,39.0,0.41,0.24,0.046,0.9998,17.8,145.0,1
9.6,0.51,8.3,3.34,38.0,0.4,0.28,0.041,0.9976,7.8,194.0,0
9.5,0.51,8.2,3.31,49.0,0.39,0.27,0.039,0.9976,7.8,208.0,0
9.0,0.44,7.2,3.09,55.0,0.38,0.23,0.058,0.9979,14.3,194.0,0
9.0,0.44,7.2,3.09,55.0,0.38,0.23,0.058,0.9979,14.3,194.0,0
9.0,0.44,7.2,3.09,55.0,0.38,0.23,0.058,0.9979,14.3,194.0,0
9.0,0.44,7.2,3.09,55.0,0.38,0.23,0.058,0.9979,14.3,194.0,0
9.6,0.5,6.8,3.27,54.0,0.32,0.52,0.044,0.9972,13.2,221.0,0
9.6,0.64,6.2,3.48,28.0,0.21,0.25,0.039,0.9982,15.55,159.0,0
8.7,0.46,7.3,3.2,49.0,0.23,0.32,0.05,0.9985,13.7,197.0,1
10.4,0.5,7.7,3.13,23.0,0.26,0.31,0.031,0.9944,7.8,90.0,1
9.7,0.58,6.8,3.3,64.5,0.34,0.24,0.047,0.9934,2.7,218.5,0
8.7,0.46,6.9,3.14,40.0,0.56,0.4,0.043,0.9975,11.2,142.0,1
11.3,0.79,6.1,3.37,20.0,0.36,0.18,0.038,0.9923,2.0,249.5,0
10.0,0.45,6.1,3.38,18.0,0.14,0.41,0.037,0.996,10.4,119.0,1
8.7,0.46,6.9,3.14,40.0,0.56,0.4,0.043,0.9975,11.2,142.0,1
9.3,0.52,5.8,3.21,37.0,0.39,0.24,0.054,0.9932,1.5,158.0,0
11.8,0.5,6.4,3.32,23.0,0.39,0.23,0.032,0.9912,1.8,118.0,0
10.2,0.42,6.9,3.32,36.0,0.35,0.115,0.048,0.9939,5.4,108.0,0
8.9,0.47,6.9,2.93,36.0,0.4,0.29,0.043,0.9996,19.45,156.0,1
10.2,0.33,6.9,3.17,15.0,0.4,0.28,0.036,0.9944,8.2,95.0,1
9.6,0.59,7.2,3.08,66.0,0.4,0.29,0.045,0.9977,13.6,231.0,0
10.6,0.48,6.2,3.1,22.0,0.35,0.24,0.038,0.9912,1.2,167.0,0
8.9,0.47,6.9,2.93,36.0,0.4,0.29,0.043,0.9996,19.45,156.0,1
9.2,0.51,6.9,3.25,32.0,0.26,0.32,0.053,0.9965,8.3,180.0,0
9.7,0.57,5.3,3.34,34.0,0.07,0.58,0.043,0.9944,6.9,149.0,1
9.7,0.57,5.3,3.34,34.0,0.07,0.585,0.044,0.9945,7.1,145.0,0
9.7,0.57,5.4,3.34,36.0,0.07,0.59,0.045,0.9944,7.0,147.0,0
9.2,0.51,6.9,3.25,32.0,0.26,0.32,0.053,0.9965,8.3,180.0,0
9.7,0.58,5.2,3.33,33.0,0.07,0.6,0.044,0.9944,7.0,147.0,1
9.3,0.38,5.8,3.29,44.0,0.26,0.25,0.051,0.9972,13.1,148.0,1
9.0,0.38,6.6,3.24,30.0,0.3,0.58,0.057,0.9949,5.1,123.0,1
9.5,0.61,7.0,3.05,59.0,0.54,0.29,0.046,0.9966,10.7,234.0,1
9.8,0.57,6.6,3.14,51.0,0.41,0.19,0.046,0.9954,8.9,169.0,0
9.8,0.58,6.7,3.14,50.0,0.41,0.2,0.044,0.9954,9.1,166.0,0
10.6,0.5,7.7,2.89,9.0,0.4,0.26,0.042,0.9915,1.1,60.0,1
9.3,0.49,6.7,3.19,51.0,0.3,0.34,0.054,0.9982,15.6,196.0,1
8.8,0.49,7.1,3.12,46.0,0.24,0.35,0.055,0.9988,15.4,198.0,1
8.8,0.47,7.3,3.08,47.0,0.25,0.32,0.056,0.9961,7.2,180.0,1
9.7,0.51,6.5,3.22,51.0,0.33,0.28,0.053,0.9978,15.7,190.0,0
10.5,0.46,5.9,3.52,53.0,0.31,0.15,0.041,0.9945,5.8,155.0,0
9.1,0.44,7.4,2.96,53.0,0.42,0.28,0.066,1.0,19.8,195.0,1
9.4,0.54,6.3,3.37,34.0,0.27,0.33,0.046,0.9934,1.2,175.0,0
9.4,0.57,8.3,3.09,33.0,0.7,0.39,0.045,0.9976,10.6,169.0,1
10.0,0.45,7.5,3.17,65.0,0.44,0.17,0.046,0.997,11.3,146.0,0
10.3,0.45,6.7,3.15,27.0,0.5,0.17,0.043,0.9923,2.1,122.0,0
10.8,0.67,6.1,3.27,36.0,0.0,0.41,0.063,0.9914,1.6,87.0,0
10.5,0.38,8.3,3.13,12.0,0.35,0.2,0.05,0.992,0.9,74.0,0
10.8,0.67,6.1,3.27,36.0,0.0,0.41,0.063,0.9914,1.6,87.0,0
11.1,0.43,6.0,3.32,42.0,0.21,0.29,0.055,0.9914,1.3,168.0,0
9.9,0.41,7.3,3.2,41.0,0.24,0.41,0.057,0.9949,6.8,163.0,0
9.9,0.41,7.3,3.2,41.0,0.24,0.41,0.057,0.9949,6.8,163.0,0
9.9,0.41,7.2,3.2,40.0,0.24,0.43,0.058,0.995,6.7,163.0,1
9.9,0.41,7.3,3.2,41.0,0.24,0.4,0.058,0.995,6.7,166.0,0
10.4,0.41,6.2,3.21,36.0,0.26,0.31,0.037,0.9928,4.8,148.0,0
10.0,0.45,7.8,3.36,37.0,0.41,0.25,0.042,0.9954,3.7,149.0,0
10.0,0.63,5.7,3.29,51.0,0.21,0.36,0.038,0.9941,6.7,166.0,0
10.0,0.62,5.8,3.29,50.0,0.21,0.34,0.04,0.9941,6.6,167.0,1
9.1,0.44,6.8,3.09,42.0,0.6,0.28,0.132,0.9934,1.1,127.0,0
10.6,0.38,6.8,3.21,34.0,0.34,0.25,0.031,0.9927,4.7,134.0,0
10.5,0.37,6.6,3.19,36.0,0.35,0.24,0.031,0.9938,7.7,135.0,1
10.1,0.59,6.1,3.54,10.0,0.25,0.125,0.04,0.9934,3.3,69.0,0
10.5,0.37,6.6,3.19,36.0,0.35,0.24,0.031,0.9938,7.7,135.0,1
10.6,0.38,6.8,3.21,34.0,0.34,0.25,0.031,0.9927,4.7,134.0,0
10.4,0.36,6.8,3.16,35.0,0.44,0.28,0.031,0.9946,9.3,137.0,0
11.4,0.55,8.3,3.02,11.0,0.51,0.41,0.046,0.993,2.0,207.0,1
10.5,0.59,7.5,3.18,131.0,0.31,0.27,0.057,0.9946,5.8,313.0,1
10.0,0.6,7.9,2.96,38.0,0.41,0.26,0.04,0.9976,15.15,216.0,0
10.0,0.65,6.4,3.19,37.0,0.23,0.34,0.039,0.9944,6.3,143.0,0
9.6,0.5,6.5,3.23,55.0,0.35,0.28,0.042,0.9978,15.4,195.0,0
10.4,0.51,7.2,3.17,33.0,0.41,0.21,0.036,0.992,1.3,85.0,1
10.6,0.39,6.8,3.2,37.0,0.34,0.24,0.032,0.9927,4.6,135.0,1
11.8,0.4,6.3,3.28,16.0,0.3,0.23,0.033,0.9906,1.8,91.0,0
9.8,0.44,6.5,3.11,30.0,0.34,0.28,0.038,0.9954,9.9,133.0,1
10.8,0.38,5.6,3.25,12.0,0.26,0.26,0.031,0.9923,5.7,80.0,1
11.8,0.4,6.3,3.28,16.0,0.3,0.23,0.033,0.9906,1.8,91.0,0
11.2,0.42,6.3,3.32,15.0,0.33,0.23,0.036,0.991,1.5,105.0,0
9.3,0.42,5.8,3.28,55.0,0.27,0.27,0.045,0.9972,12.3,170.0,0
10.4,0.53,5.9,3.45,12.0,0.4,0.26,0.047,0.9945,1.3,139.0,1
10.0,0.54,8.0,3.2,17.0,0.36,0.24,0.047,0.9948,1.5,129.0,0
9.1,0.47,6.4,3.18,30.0,0.42,0.26,0.044,0.9962,9.7,140.0,0
10.0,0.76,5.4,3.29,46.0,0.47,0.31,0.053,0.9931,3.0,144.0,1
10.0,0.75,5.4,3.29,47.0,0.47,0.29,0.052,0.993,3.0,145.0,0
9.6,0.4,7.1,3.28,33.0,0.33,0.145,0.05,0.9942,4.6,131.0,0
8.8,0.44,6.7,3.2,75.0,0.41,0.19,0.056,0.9995,15.6,155.0,0
10.0,0.5,7.8,3.15,38.0,0.46,0.18,0.052,0.998,13.6,118.0,0
10.0,0.47,7.6,3.15,56.0,0.45,0.17,0.054,0.997,11.2,137.0,1
9.6,0.51,5.5,3.14,27.0,0.3,0.335,0.071,0.9924,2.5,128.0,0
9.6,0.57,5.8,3.25,38.5,0.42,0.4,0.047,0.9937,4.4,245.0,0
9.0,0.38,7.3,2.89,48.0,0.37,0.22,0.063,0.9978,14.3,191.0,0
9.0,0.38,7.3,2.89,48.0,0.37,0.22,0.063,0.9978,14.3,191.0,0
9.5,0.78,6.1,3.15,24.0,0.33,0.36,0.05,0.9927,1.1,169.0,0
10.4,0.42,10.0,3.0,19.0,0.39,0.2,0.05,0.994,1.4,152.0,0
10.6,0.59,6.9,3.2,43.0,0.34,0.24,0.04,0.9935,4.7,161.0,0
10.2,0.5,6.4,3.28,54.0,0.32,0.24,0.047,0.9968,14.9,162.0,0
8.9,0.43,7.1,3.15,24.0,0.14,0.365,0.055,0.9941,1.2,84.0,1
9.7,0.39,6.8,3.4,40.0,0.3,0.15,0.05,0.9942,5.3,127.0,0
9.0,0.38,7.3,2.89,48.0,0.37,0.22,0.063,0.9978,14.3,191.0,0
10.8,0.62,6.0,3.49,40.0,0.27,0.18,0.089,0.9923,1.5,143.0,0
9.4,0.45,6.9,3.12,39.0,0.21,0.33,0.053,0.9927,1.0,148.0,0
10.6,0.64,7.7,3.17,36.0,0.48,0.29,0.049,0.9931,2.3,178.0,0
11.6,0.29,7.1,3.17,26.0,0.35,0.39,0.044,0.9941,12.5,72.0,1
9.4,0.45,6.9,3.12,39.0,0.21,0.33,0.053,0.9927,1.0,148.0,0
10.6,0.64,7.7,3.17,36.0,0.48,0.29,0.049,0.9931,2.3,178.0,0
10.0,0.56,6.6,3.34,17.0,0.19,0.905,0.048,0.9934,0.8,204.0,1
9.2,0.51,7.2,3.1,30.0,0.27,0.27,0.048,0.9936,2.4,149.0,0
10.0,0.64,5.7,3.22,17.0,0.5,0.32,0.049,0.9927,2.6,155.0,0
9.0,0.52,7.2,3.1,48.0,0.26,0.28,0.046,0.9975,12.5,179.0,0
9.2,0.53,7.5,3.12,26.0,0.28,0.35,0.051,0.9969,9.6,157.0,0
9.2,0.51,7.2,3.1,30.0,0.27,0.27,0.048,0.9936,2.4,149.0,0
10.1,0.66,6.3,3.12,82.5,0.35,0.39,0.04,0.9941,5.9,260.0,1
9.7,0.46,6.7,3.39,29.0,0.32,0.21,0.047,0.995,5.4,140.0,0
10.6,0.46,6.5,3.1,13.0,0.32,0.36,0.031,0.9916,1.1,66.0,1
