A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,y
9.4,0.62,8.1,3.17,32.0,0.55,0.67,0.117,0.9968,1.8,141.0,1
10.0,0.52,5.8,3.54,21.0,0.02,0.68,0.087,0.9944,1.8,94.0,1
9.3,0.8,7.6,3.11,10.0,0.26,0.49,0.236,0.9968,1.6,88.0,1
10.2,0.58,6.9,3.42,12.0,0.1,0.49,0.074,0.9959,2.3,30.0,0
10.5,0.61,8.2,3.53,11.0,0.44,0.4,0.089,0.9975,2.8,43.0,0
10.3,0.53,7.3,3.33,5.0,0.47,0.33,0.077,0.9958,2.1,11.0,0
10.1,0.54,7.5,3.35,25.0,0.03,0.6,0.095,0.995,1.8,99.0,1
10.1,0.54,7.5,3.35,25.0,0.03,0.6,0.095,0.995,1.8,99.0,1
10.5,0.72,7.1,3.42,29.0,0.42,0.43,0.07,0.9973,5.5,129.0,1
10.5,0.71,7.1,3.42,28.0,0.42,0.43,0.071,0.9973,5.5,128.0,1
10.5,0.72,7.1,3.42,29.0,0.42,0.43,0.07,0.9973,5.5,129.0,1
10.5,0.71,7.1,3.42,28.0,0.42,0.43,0.071,0.9973,5.5,128.0,1
9.3,0.5,7.1,3.48,12.0,0.0,0.68,0.073,0.9969,2.2,22.0,1
9.3,0.57,6.8,3.59,18.0,0.18,0.6,0.079,0.9968,1.9,86.0,0
9.6,0.56,7.6,3.2,7.0,0.03,0.95,0.09,0.9959,2.0,20.0,1
10.0,0.56,7.8,3.33,17.0,0.04,0.53,0.076,0.9964,1.7,31.0,0
9.4,0.49,7.4,3.37,36.0,0.26,0.6,0.07,0.9982,7.3,121.0,1
9.4,0.49,7.3,3.37,35.0,0.26,0.59,0.07,0.9981,7.2,121.0,1
9.5,0.62,7.8,3.19,14.0,0.48,0.63,0.1,0.9961,1.7,96.0,1
10.2,0.52,6.8,3.34,18.0,0.1,0.64,0.085,0.9956,2.1,101.0,1
10.4,0.55,6.8,3.47,11.0,0.07,0.63,0.089,0.9953,2.1,44.0,0
9.5,1.59,7.5,3.0,15.0,0.24,0.705,0.36,0.9964,1.8,63.0,1
9.2,0.61,8.0,3.29,6.0,0.17,0.42,0.073,0.9972,2.0,18.0,0
9.2,0.61,8.0,3.29,6.0,0.17,0.42,0.073,0.9972,2.0,18.0,0
11.5,0.57,7.4,3.42,24.0,0.05,0.62,0.068,0.9961,1.9,42.0,0
9.5,0.47,7.3,3.33,7.0,0.21,0.38,0.08,0.9961,2.0,35.0,1
9.5,0.78,6.9,3.35,19.0,0.04,0.5,0.085,0.9958,1.5,49.0,1
9.5,0.47,7.3,3.33,7.0,0.21,0.38,0.08,0.9961,2.0,35.0,1
10.5,0.61,7.5,3.58,8.0,0.42,0.52,0.087,0.9972,2.3,38.0,0
9.6,0.56,7.0,3.48,7.0,0.0,0.805,0.068,0.9969,2.5,20.0,1
9.5,0.59,8.8,3.19,10.0,0.14,0.61,0.067,0.9969,2.4,42.0,1
9.5,0.59,8.8,3.19,10.0,0.14,0.61,0.067,0.9969,2.4,42.0,1
9.3,1.02,8.9,3.12,23.0,0.49,0.61,0.27,0.9972,2.0,110.0,1
9.3,0.52,7.2,3.44,16.0,0.02,0.73,0.076,0.9972,2.5,42.0,1
9.3,0.58,6.8,3.54,11.0,0.2,0.61,0.077,0.9971,1.8,65.0,1
9.3,0.58,6.7,3.52,8.0,0.21,0.62,0.079,0.997,1.9,62.0,0
9.7,0.53,8.9,3.26,26.0,0.57,0.31,0.111,0.9971,2.0,85.0,1
9.2,0.55,7.4,3.34,14.0,0.48,0.39,0.082,0.9972,2.0,67.0,1
9.7,0.49,7.7,3.39,9.0,0.1,0.705,0.084,0.9976,2.6,26.0,1
9.5,0.55,7.9,3.2,15.0,0.33,0.5,0.084,0.9968,2.0,143.0,1
9.5,0.55,7.9,3.2,17.0,0.32,0.49,0.082,0.9968,1.9,144.0,1
9.4,0.62,8.2,3.23,21.0,0.35,0.5,0.077,0.9976,2.9,127.0,1
9.8,0.62,6.4,3.57,21.0,0.25,0.37,0.074,0.9974,1.9,49.0,0
9.5,0.61,6.8,3.28,16.0,0.12,0.63,0.099,0.9969,3.8,126.0,1
9.7,0.55,7.6,3.28,7.0,0.21,0.55,0.071,0.9964,2.2,28.0,1
9.7,0.55,7.6,3.28,7.0,0.21,0.55,0.071,0.9964,2.2,28.0,1
9.4,0.54,7.8,3.25,24.0,0.33,0.59,0.074,0.9968,2.0,120.0,1
10.2,0.59,7.3,3.46,15.0,0.3,0.58,0.074,0.9968,2.4,55.0,1
10.1,0.97,11.5,3.11,12.0,0.6,0.3,0.067,0.9981,2.0,27.0,0
9.3,1.03,8.8,3.04,39.0,0.48,0.37,0.097,0.9975,2.1,145.0,1
9.5,0.79,6.8,3.36,16.0,0.11,0.5,0.075,0.99545,1.5,49.0,1
9.2,0.55,7.0,3.34,16.0,0.35,0.42,0.088,0.9961,1.6,39.0,1
9.2,0.56,7.0,3.34,14.0,0.36,0.43,0.089,0.99615,1.6,37.0,0
9.3,0.53,7.8,3.29,26.0,0.31,0.57,0.069,0.99625,1.8,120.0,1
9.4,0.67,7.8,3.22,18.0,0.28,0.44,0.1,0.9966,2.7,95.0,1
12.4,0.86,9.7,3.3,5.0,0.6,0.53,0.039,0.99585,2.0,19.0,0
10.0,0.56,8.0,3.35,10.0,0.24,0.725,0.083,0.99685,2.8,62.0,0
10.2,0.67,11.6,3.21,5.0,0.64,0.44,0.059,0.998,2.1,15.0,0
10.1,0.43,8.2,3.3,28.0,0.26,0.57,0.06,0.9959,2.2,65.0,1
9.8,0.71,7.8,3.24,10.0,0.08,0.735,0.092,0.9974,2.4,41.0,0
10.5,0.76,7.0,3.34,26.0,0.49,0.49,0.06,0.9974,5.6,121.0,1
11.0,0.57,8.7,3.14,13.0,0.16,0.625,0.101,0.9962,2.0,49.0,1
9.1,0.55,8.1,3.36,11.0,0.22,0.725,0.072,0.9967,2.2,41.0,1
9.7,0.54,7.5,3.39,10.0,0.19,0.49,0.076,0.9957,1.9,44.0,1
9.5,0.6,7.8,3.3,24.0,0.33,0.53,0.08,0.99655,2.4,144.0,1
9.4,0.59,7.8,3.34,24.0,0.37,0.34,0.082,0.9964,2.0,58.0,0
9.4,0.57,7.4,3.15,16.0,0.26,0.53,0.101,0.9957,2.0,72.0,1
9.5,0.6,6.8,3.42,5.0,0.04,0.61,0.057,0.99525,1.5,10.0,1
10.0,0.6,8.6,3.28,8.0,0.25,0.645,0.083,0.99815,2.0,28.0,0
10.5,0.58,7.7,3.37,29.0,0.25,0.43,0.073,0.99615,2.6,63.0,0
9.5,1.61,8.9,3.04,27.0,0.5,0.59,0.337,0.9964,2.0,81.0,0
9.8,0.63,9.0,3.39,9.0,0.14,0.82,0.089,0.9984,2.6,23.0,1
10.5,0.58,7.7,3.37,29.0,0.25,0.43,0.073,0.99615,2.6,63.0,0
11.0,0.5,6.9,3.46,10.0,0.25,0.52,0.081,0.99685,2.6,37.0,1
9.9,0.52,8.0,3.37,12.0,0.06,0.38,0.078,0.99625,1.8,49.0,0
9.6,0.7,8.5,3.34,18.0,0.2,0.37,0.09,0.998,2.8,58.0,0
11.0,0.5,6.9,3.46,10.0,0.25,0.52,0.081,0.99685,2.6,37.0,1
9.0,0.55,8.2,3.32,7.0,0.09,1.0,0.065,0.99685,2.3,37.0,0
9.0,0.58,7.2,3.37,14.0,0.0,0.63,0.097,0.99675,1.9,38.0,0
9.0,0.58,7.2,3.37,14.0,0.0,0.63,0.097,0.99675,1.9,38.0,0
9.2,0.58,7.2,3.37,15.0,0.0,0.645,0.097,0.99675,1.9,39.0,0
9.0,0.58,7.2,3.37,14.0,0.0,0.63,0.097,0.99675,1.9,38.0,0
9.0,0.55,8.2,3.32,7.0,0.09,1.0,0.065,0.99685,2.3,37.0,0
9.3,1.09,8.9,3.0,5.0,0.37,0.635,0.263,0.9971,1.7,62.0,1
10.9,0.71,12.0,3.14,6.0,0.56,0.38,0.093,0.99925,2.1,24.0,0
9.8,0.49,7.7,3.08,28.0,0.1,0.58,0.102,0.99565,1.8,109.0,0
9.9,0.96,7.3,3.61,6.0,0.0,0.66,0.084,0.9983,2.0,23.0,0
9.5,0.52,7.1,3.38,16.0,0.07,0.68,0.075,0.99685,1.9,51.0,1
9.3,0.45,8.2,3.2,11.0,0.17,0.6,0.072,0.9963,2.3,73.0,1
9.8,0.48,7.7,3.35,9.0,0.06,0.53,0.074,0.99615,1.7,39.0,0
9.9,0.96,7.3,3.61,6.0,0.0,0.66,0.084,0.9983,2.0,23.0,0
10.0,0.78,10.8,3.22,16.0,0.44,0.32,0.063,0.9985,1.6,37.0,0
9.9,0.7,7.1,3.47,16.0,0.0,0.6,0.074,0.9972,1.8,34.0,0
10.5,0.53,11.1,3.17,5.0,0.48,0.35,0.09,0.9986,3.1,21.0,1
9.5,0.59,7.7,3.23,8.0,0.42,0.775,0.092,0.9959,1.9,86.0,1
9.9,0.7,7.1,3.47,16.0,0.0,0.6,0.074,0.9972,1.8,34.0,0
9.3,0.57,8.0,3.26,17.0,0.23,0.57,0.073,0.99675,3.2,119.0,1
9.2,0.62,9.4,3.22,5.0,0.37,0.34,0.075,0.998,2.2,13.0,1
9.2,0.67,6.6,3.49,12.0,0.0,0.695,0.075,0.9968,2.1,56.0,1
9.4,1.26,7.7,3.06,8.0,0.76,0.41,0.611,0.9968,1.8,45.0,1
9.3,0.65,7.9,3.29,18.0,0.23,0.33,0.077,0.99625,1.7,45.0,1
10.0,0.57,8.0,3.34,10.0,0.03,0.52,0.07,0.99575,1.7,35.0,1
9.3,0.67,7.9,3.28,23.0,0.23,0.37,0.077,0.9963,1.8,49.0,1
10.9,0.87,12.5,3.08,5.0,0.49,0.56,0.064,0.9999,2.4,27.0,1
9.4,0.91,6.9,3.69,7.0,0.04,0.54,0.077,0.9987,3.0,27.0,0
10.1,0.97,11.5,3.28,4.0,0.51,0.18,0.104,0.9996,4.0,23.0,0
10.7,0.67,7.9,3.36,27.0,0.06,0.545,0.087,0.9965,4.0,61.0,0
10.1,0.97,11.5,3.28,4.0,0.51,0.18,0.104,0.9996,4.0,23.0,0
10.1,0.78,10.9,3.22,17.0,0.58,0.37,0.071,0.99935,4.0,65.0,1
9.4,0.64,8.4,3.31,10.0,0.2,0.715,0.076,0.99735,2.4,38.0,1
9.4,0.77,7.5,3.38,27.0,0.18,0.65,0.088,0.99915,7.0,94.0,1
10.7,0.67,7.9,3.36,27.0,0.06,0.545,0.087,0.9965,4.0,61.0,0
9.4,0.91,6.9,3.69,7.0,0.04,0.54,0.077,0.9987,3.0,27.0,0
10.1,0.97,11.5,3.28,4.0,0.51,0.18,0.104,0.9996,4.0,23.0,0
9.3,0.82,11.4,3.12,6.0,0.44,0.26,0.071,0.9986,3.6,19.0,0
9.1,0.57,7.6,3.36,12.0,0.12,0.52,0.067,0.9971,3.0,53.0,1
9.8,0.71,9.9,3.31,32.0,0.07,0.59,0.102,1.00015,3.4,71.0,1
9.8,0.71,9.9,3.31,32.0,0.07,0.59,0.102,1.00015,3.4,71.0,1
10.3,0.76,12.0,3.1,25.0,0.55,0.45,0.073,0.9997,2.0,49.0,0
10.3,0.7,7.5,3.37,29.0,0.12,0.4,0.092,0.9967,3.0,53.0,0
9.2,0.95,11.6,3.2,33.0,0.53,0.42,0.105,1.001,3.3,98.0,1
10.5,0.71,11.0,3.3,6.0,0.48,0.2,0.343,0.9979,2.0,18.0,1
10.3,0.64,10.4,3.22,18.0,0.23,0.55,0.091,0.9994,2.7,48.0,0
10.1,0.6,6.9,3.41,5.0,0.25,0.36,0.098,0.9964,2.4,16.0,0
9.5,0.81,13.3,3.05,17.0,0.52,0.34,0.094,1.0014,3.2,53.0,0
9.5,0.64,10.8,3.05,5.0,0.46,0.5,0.073,1.0001,2.5,27.0,1
9.9,0.52,10.6,3.16,26.0,0.37,0.83,0.086,0.9981,2.6,70.0,1
9.6,0.73,7.1,3.67,8.0,0.06,0.63,0.083,0.99855,2.0,29.0,1
9.7,0.8,7.2,3.67,5.0,0.02,0.65,0.094,0.9993,2.3,31.0,1
9.6,0.71,6.9,3.68,8.0,0.06,0.67,0.08,0.99845,2.1,33.0,1
10.7,0.59,7.5,3.38,20.0,0.06,0.53,0.086,0.9965,2.6,44.0,0
10.1,0.64,11.1,3.22,7.0,0.48,0.18,0.068,0.9973,1.5,15.0,0
10.0,0.72,8.3,3.51,12.0,0.12,0.705,0.092,0.9994,2.6,28.0,1
9.5,0.54,7.4,3.39,5.0,0.12,0.67,0.186,0.996,1.6,21.0,1
9.2,0.52,8.4,3.2,12.0,0.6,0.65,0.112,0.9973,2.1,90.0,1
9.3,0.59,10.3,3.12,6.0,0.48,0.53,0.063,0.9998,2.5,25.0,0
9.4,0.52,7.6,3.36,7.0,0.32,0.62,0.082,0.9966,2.2,54.0,1
9.5,0.62,10.3,3.19,6.0,0.42,0.41,0.213,0.9994,2.4,14.0,0
9.5,0.63,10.3,3.19,5.0,0.44,0.43,0.214,0.9994,2.4,12.0,0
9.5,0.53,7.4,3.41,9.0,0.38,0.29,0.062,0.9968,1.7,30.0,0
9.3,0.59,10.3,3.12,6.0,0.48,0.53,0.063,0.9998,2.5,25.0,0
9.4,0.54,7.9,3.27,15.0,0.24,0.53,0.072,0.996,2.0,105.0,0
9.5,0.63,9.0,3.32,19.0,0.31,0.46,0.093,0.99815,2.8,98.0,0
9.4,0.53,8.6,3.3,30.0,0.3,0.47,0.076,0.9976,3.0,135.0,1
11.0,0.68,7.4,3.39,26.0,0.29,0.36,0.087,0.99645,2.6,72.0,1
11.0,0.65,7.1,3.42,20.0,0.29,0.35,0.096,0.9962,2.5,53.0,0
10.1,0.65,9.6,3.3,37.0,0.23,0.56,0.102,0.9996,3.4,92.0,1
10.4,0.64,9.6,3.3,30.0,0.12,0.77,0.082,0.99865,2.9,74.0,0
10.4,0.64,9.6,3.3,30.0,0.12,0.77,0.082,0.99865,2.9,74.0,0
9.7,0.62,9.3,3.24,25.0,0.26,0.61,0.09,0.99975,3.4,87.0,1
9.3,0.63,7.8,3.29,6.0,0.05,0.62,0.079,0.99735,2.3,18.0,1
9.5,0.7,10.3,3.28,35.0,0.42,0.59,0.09,0.999,2.8,73.0,0
9.2,0.69,10.0,3.16,13.0,0.2,0.49,0.071,1.0015,11.0,50.0,0
9.2,0.69,10.0,3.16,13.0,0.2,0.49,0.071,1.0015,11.0,50.0,0
11.5,0.83,10.3,3.28,5.0,0.5,0.44,0.107,0.998,4.5,13.0,1
9.7,0.67,13.4,3.16,6.0,0.62,0.27,0.082,1.0002,2.6,21.0,0
9.5,0.62,10.7,3.18,7.0,0.39,0.46,0.061,0.9981,2.0,15.0,1
12.5,0.66,10.2,3.23,10.0,0.64,0.36,0.122,0.998,2.9,41.0,0
12.5,0.66,10.2,3.23,10.0,0.64,0.36,0.122,0.998,2.9,41.0,0
9.4,0.54,8.0,3.22,21.0,0.28,0.58,0.066,0.9973,3.2,114.0,0
11.0,0.52,8.4,3.13,16.0,0.08,0.56,0.105,0.9958,2.1,44.0,1
12.5,0.7,8.9,3.35,6.0,0.45,0.43,0.052,0.9948,1.9,16.0,0
10.3,0.64,7.8,3.31,29.0,0.32,0.43,0.08,0.9974,2.8,58.0,1
11.5,1.0,12.4,3.16,28.0,0.58,0.49,0.103,1.0008,3.0,99.0,0
